credit.policy,revol.util,fico,inq.last.6mths,purpose
True,52.1,737,0,debt_consolidation
True,76.7,707,0,credit_card
True,25.6,682,1,debt_consolidation
True,73.2,712,1,debt_consolidation
True,39.5,667,0,credit_card
True,51.0,727,0,credit_card
True,76.8,667,0,debt_consolidation
True,68.6,722,0,all_other
True,51.1,682,1,home_improvement
True,23.0,707,1,debt_consolidation
True,71.0,677,2,debt_consolidation
True,18.2,662,2,debt_consolidation
True,16.7,767,0,debt_consolidation
True,4.8,747,0,small_business
True,44.6,727,0,debt_consolidation
True,53.4,702,1,major_purchase
True,88.4,672,0,all_other
True,52.7,797,1,credit_card
True,59.8,712,0,debt_consolidation
True,84.4,667,3,major_purchase
True,23.2,772,1,all_other
True,27.6,797,0,all_other
True,57.7,662,0,credit_card
True,34.6,782,1,credit_card
True,58.1,672,0,debt_consolidation
True,36.6,712,0,all_other
True,5.7,802,1,all_other
True,51.5,662,0,debt_consolidation
True,13.7,772,0,all_other
True,0.7,812,0,all_other
True,19.4,742,0,debt_consolidation
True,26.9,692,1,credit_card
True,19.5,777,0,home_improvement
True,13.1,762,0,home_improvement
True,23.0,757,0,credit_card
True,6.8,772,0,all_other
True,0.6,787,0,credit_card
True,16.1,672,3,credit_card
True,48.6,707,1,debt_consolidation
True,39.2,717,1,home_improvement
True,26.3,742,0,home_improvement
True,16.9,777,0,debt_consolidation
True,7.8,752,1,small_business
True,0.0,677,0,home_improvement
True,47.1,702,0,credit_card
True,14.4,797,0,credit_card
True,16.5,762,0,educational
True,23.9,772,0,all_other
True,37.6,722,0,credit_card
True,10.2,792,0,debt_consolidation
True,0.0,782,1,credit_card
True,54.4,712,0,small_business
True,23.3,762,0,small_business
True,41.1,712,1,educational
True,92.3,627,1,debt_consolidation
True,8.1,747,2,small_business
True,75.8,662,2,credit_card
True,74.1,682,0,credit_card
True,93.4,682,3,credit_card
True,69.3,712,0,all_other
True,71.9,682,0,debt_consolidation
True,14.0,772,2,all_other
True,32.4,682,0,all_other
True,70.9,667,2,debt_consolidation
True,6.0,752,0,credit_card
True,36.9,687,1,all_other
True,20.5,702,0,all_other
True,40.2,712,0,debt_consolidation
True,65.9,707,0,debt_consolidation
True,2.3,752,1,home_improvement
True,1.0,812,0,credit_card
True,24.4,757,4,home_improvement
True,47.8,722,3,debt_consolidation
True,75.3,677,0,small_business
True,3.8,772,3,home_improvement
True,35.1,682,1,home_improvement
True,34.3,712,3,debt_consolidation
True,11.0,772,0,educational
True,19.8,712,1,credit_card
True,79.6,707,1,all_other
True,1.0,762,0,home_improvement
True,0.7,762,0,all_other
True,14.9,742,1,all_other
True,14.9,722,1,all_other
True,30.7,737,0,home_improvement
True,36.2,662,2,debt_consolidation
True,68.8,667,2,credit_card
True,17.1,747,0,all_other
True,62.2,662,0,credit_card
True,42.5,737,0,small_business
True,55.1,672,3,small_business
True,86.1,682,0,debt_consolidation
True,39.1,767,0,debt_consolidation
True,26.1,702,2,credit_card
True,9.2,792,1,all_other
True,5.6,762,2,debt_consolidation
True,44.8,727,2,debt_consolidation
True,5.6,787,3,all_other
True,9.6,792,0,all_other
True,0.0,792,3,home_improvement
True,18.5,772,0,debt_consolidation
True,75.0,667,0,all_other
True,0.0,702,0,small_business
